,pnl,book_size,long_count,short_count,turnover,returns,drawdown,margin,fitness,sharpe,start_date,alpha_id,expression,concentrated_weight,high_turnover,low_fitness,low_sharpe,low_sub_universe_sharpe,low_turnover,matches_competition,matches_themes
68,319878,20000000,1194,1185,0.0605,0.0037,0.1837,0.000123,0.01,0.07,2012-01-22,27Mo7e6,"ts_skewness(vec_avg(pv64_stal_hist_trr_prev_1month),120)",FAIL,PASS,FAIL,FAIL,PASS,PASS,WARNING,WARNING
69,630229,20000000,615,592,0.0394,0.0073,0.5783,0.00037,0.01,0.06,2012-01-22,dxp6a2w,"ts_skewness(vec_avg(pv64_dif_stal_fund_asset_alloc_corp),120)",FAIL,PASS,FAIL,FAIL,FAIL,PASS,WARNING,WARNING
70,152792,20000000,1156,1224,0.0765,0.0018,0.0687,4.6e-05,0.01,0.07,2012-01-22,Zp6v0jn,"ts_skewness(vec_avg(pv64_stal_last_close_trr_1yr),120)",PASS,PASS,FAIL,FAIL,FAIL,PASS,WARNING,WARNING
71,541137,20000000,202,198,0.1236,0.0063,0.6137,0.000102,0.01,0.03,2012-01-22,g165rVQ,"ts_skewness(vec_avg(pv64_dif_stal_fund_expense_ratio),120)",FAIL,PASS,FAIL,FAIL,PASS,PASS,WARNING,WARNING
72,321198,20000000,367,438,0.0408,0.0037,0.2763,0.000182,0.01,0.03,2012-01-22,WpMRlKZ,"ts_skewness(vec_avg(pv64_dif_stal_fund_asset_alloc_mtge),120)",FAIL,PASS,FAIL,FAIL,PASS,PASS,WARNING,WARNING
73,115920,20000000,1060,1290,0.0609,0.0014,0.1408,4.5e-05,0.01,0.05,2012-01-22,Ew1MGxK,"ts_skewness(vec_avg(pv64_dif_fund_expense_ratio),120)",PASS,PASS,FAIL,FAIL,PASS,PASS,WARNING,WARNING
74,161890,20000000,1189,1193,0.0722,0.0019,0.0561,5.2e-05,0.01,0.08,2012-01-22,vL8Xj13,"ts_skewness(vec_avg(pv64_stal_last_close_trr_6mo),120)",PASS,PASS,FAIL,FAIL,PASS,PASS,WARNING,WARNING
75,64265,20000000,68,96,0.064,0.0007,0.2804,2.3e-05,0.0,0.01,2012-01-22,wRqkzLv,"ts_skewness(vec_avg(pv64_px_stal_px_volume),120)",PASS,PASS,FAIL,FAIL,FAIL,PASS,WARNING,WARNING
76,375115,20000000,361,582,0.043,0.0047,0.5338,0.000219,0.0,0.02,2012-01-22,lVdYo98,"ts_skewness(vec_avg(pv64_out_stal_eqy_sh_out),120)",FAIL,PASS,FAIL,FAIL,PASS,PASS,WARNING,WARNING
77,-280858,20000000,64,76,0.04,-0.0032,0.8026,-0.000162,-0.0,-0.01,2012-01-22,Zp6vmqd,"ts_skewness(vec_avg(pv64_trr_stal_cur_mkt_cap),120)",FAIL,PASS,FAIL,FAIL,FAIL,PASS,WARNING,WARNING
78,-759876,20000000,1098,1120,0.0642,-0.009,0.5061,-0.00028,-0.01,-0.05,2012-01-22,LpWwd0a,"ts_skewness(vec_avg(pv64_dif_fund_asset_alloc_corp),120)",FAIL,PASS,FAIL,FAIL,PASS,PASS,WARNING,WARNING
79,-928507,20000000,809,886,0.0717,-0.0107,0.479,-0.0003,-0.01,-0.05,2012-01-22,p6meqg3,"ts_skewness(vec_avg(pv64_low_52week),120)",FAIL,PASS,FAIL,FAIL,FAIL,PASS,WARNING,WARNING
80,-189146,20000000,1068,1239,0.0547,-0.0022,0.2648,-8.2e-05,-0.01,-0.05,2012-01-22,17eRp0X,"ts_skewness(vec_avg(pv64_dif_fund_income_ratio),120)",PASS,PASS,FAIL,FAIL,FAIL,PASS,WARNING,WARNING
